"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT10","WT10_ATTRIBUTES"
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-11",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-12",,,,,,,,,"0.06",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-13",,,,,,,,,"2.54",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-14",,,,,,,,,"1.51",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-15",,,,,,,,,"0.10",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-16",,,,,,,,,"0.99",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-20",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-21",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-22",,,,,,,,,"0.55",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-23",,,,,,,,,"0.82",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-24",,,,,,,,,"0.45",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-25",,,,,,,,,"0.30",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-26",,,,,,,,,"0.41",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","37.8552","-122.28923","13.7","2021-12-27",,,,,,,,,"0.59",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
